year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Canada,Christine DE BRUIN,BRONZE,https://olympics.com/en/athletes/christine-de-bruin
2022,United States of America,Elana MEYERS TAYLOR,SILVER,https://olympics.com/en/athletes/elana-meyers-taylor
2022,Germany,Francesco FRIEDRICH,GOLD,https://olympics.com/en/athletes/francesco-friedrich
2022,Germany,Thorsten MARGIS,GOLD,https://olympics.com/en/athletes/thorsten-margis
2022,Germany,Johannes LOCHNER,SILVER,https://olympics.com/en/athletes/johannes-lochner
2022,Germany,Florian BAUER,SILVER,https://olympics.com/en/athletes/florian-bauer
2022,Germany,Christoph HAFER,BRONZE,https://olympics.com/en/athletes/christoph-hafer
2022,Germany,Matthias SOMMER,BRONZE,https://olympics.com/en/athletes/matthias-sommer
2022,Germany,Laura NOLTE,GOLD,https://olympics.com/en/athletes/laura-nolte
2022,Germany,Deborah LEVI,GOLD,https://olympics.com/en/athletes/deborah-levi
2022,Germany,Mariama JAMANKA,SILVER,https://olympics.com/en/athletes/mariama-jamanka
2022,Germany,Alexandra BURGHARDT,SILVER,https://olympics.com/en/athletes/alexandra-burghardt
2022,United States of America,Elana MEYERS TAYLOR,BRONZE,https://olympics.com/en/athletes/elana-meyers-taylor
2022,United States of America,Sylvia HOFFMAN,BRONZE,https://olympics.com/en/athletes/sylvia-hoffman
2020,Spain,Fatima GALVEZ,GOLD,https://olympics.com/en/athletes/fatima-galvez
2020,Spain,Alberto FERNANDEZ,GOLD,https://olympics.com/en/athletes/alberto-fernandez-1
2020,San Marino,Alessandra PERILLI,SILVER,https://olympics.com/en/athletes/alessandra-perilli
2020,San Marino,Gian Marco BERTI,SILVER,https://olympics.com/en/athletes/gian-marco-berti
2020,United States of America,Madelynn Ann BERNAU,BRONZE,https://olympics.com/en/athletes/madelynn-ann-bernau
2020,United States of America,Brian BURROWS,BRONZE,https://olympics.com/en/athletes/brian-burrows
2020,ROC,Yulia KARIMOVA,BRONZE,https://olympics.com/en/athletes/yulia-karimova
2020,Switzerland,Nina CHRISTEN,GOLD,https://olympics.com/en/athletes/nina-christen
2020,ROC,Yulia ZYKOVA,SILVER,https://olympics.com/en/athletes/yulia-zykova
2020,ROC,Sergey KAMENSKIY,SILVER,https://olympics.com/en/athletes/sergey-kamenskiy
2020,People's Republic of China,Changhong ZHANG,GOLD,https://olympics.com/en/athletes/changhong-zhang
2020,Serbia,Milenko SEBIC,BRONZE,https://olympics.com/en/athletes/milenko-sebic
